p_id,source,p_base_price,p_name,category,p_gender,p_img,p_link
46988,Noir,95.05$,Classic abaya with striped fabric,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/10/0E1A0350-new-scaled.jpg,https://abayanoir.com/product/classic-abaya-with-striped-fabric-at-the-top-part-and-golden-zippers-and-buttons-detailing-sold-with-its-matching-scarf/
44849,Noir,65.41$,Classic button up Abaya with satin details,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/05/1G5A3171-scaled.jpg,https://abayanoir.com/product/classic-button-up-abaya-with-satin-details/
46593,Noir,77.90$,Elegant abaya with embroidered sleeves,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/10/1G5A2822-scaled.jpg,https://abayanoir.com/product/elegant-abaya-with-embroidered-sleeves/
44405,Noir,67.53$,Flowey Oversized Reglan zip up Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/05/1G5A2762-scaled.jpg,https://abayanoir.com/product/flowey-oversized-reglan-zip-up-abaya/
46123,Noir,61.18$,Flowy Open Abaya With Dainty  contrast Detailing,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/09/B15A3513-scaled.jpg,https://abayanoir.com/product/flowy-open-abaya-with-dainty-contrast-detailing/
46072,Noir,73.88$,Flowy Open Abaya With Dainty  gold Detailing and basic dress,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/09/B15A4058-scaled.jpg,https://abayanoir.com/product/flowy-open-abaya-with-dainty-gold-detailing-and-basic-dress/
44347,Noir,54.19$,front buttons shirt abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/05/1G5A2580-scaled.jpg,https://abayanoir.com/product/front-buttons-shirt-abaya-2/
44392,Noir,101.61$,Luxurey open Abaya with velvety texture,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/05/1G5A2701-scaled.jpg,https://abayanoir.com/product/luxurey-open-abaya-with-velvety-texture/
44747,Noir,83.83$,pocho Abaya with embellished layers,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/05/1G5A2791-scaled.jpg,https://abayanoir.com/product/pocho-abaya-with-embellished-layers/
46045,Noir,82.35$,Premium Textured Open Abaya with Pleated Cuffs,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/09/B15A3692-scaled.jpg,https://abayanoir.com/product/premium-textured-open-abaya-with-pleated-cuffs/
